	acousticness	danceability	instrumentalness	valence	energy	target
138	0.00919	0.944	0.0	0.891	0.839	1
139	0.354	0.729	0.0	0.853	0.795	1
140	0.00469	0.721	0.0103	0.578	0.621	1
141	0.00102	0.798	3.22e-06	0.482	0.751	1
142	0.0512	0.851	0.0	0.365	0.387	1
143	0.0252	0.34	0.0	0.654	0.805	1
144	0.221	0.767	0.0723	0.779	0.891	1
145	0.937	0.772	0.018	0.592	0.635	1
146	2.13e-05	0.259	0.823	0.682	0.847	1
147	0.284	0.633	0.0	0.324	0.77	1
148	0.0962	0.654	0.0031	0.111	0.292	1
149	0.334	0.726	0.00135	0.48	0.583	1
150	0.0648	0.855	0.0	0.433	0.638	1
151	0.185	0.704	0.0972	0.349	0.431	1
152	0.689	0.658	0.0	0.197	0.179	1
153	0.000472	0.502	0.043	0.593	0.833	1
154	0.00157	0.79	0.0	0.314	0.676	1
155	0.0233	0.738	0.0317	0.863	0.849	1
156	0.00212	0.777	0.868	0.201	0.739	1
157	0.0734	0.791	0.0	0.581	0.779	1
158	0.19	0.735	0.0	0.16	0.41	1
159	0.188	0.556	0.911	0.516	0.582	1
160	0.461	0.427	5.52e-05	0.462	0.465	1
161	0.0111	0.563	2.71e-05	0.767	0.81	1
162	0.0496	0.753	0.0123	0.445	0.708	1
163	0.149	0.785	0.813	0.961	0.764	1
164	0.0682	0.557	0.0263	0.211	0.608	1
165	0.489	0.594	0.00452	0.311	0.42	1
166	0.000259	0.644	0.0708	0.752	0.758	1
167	0.217	0.704	0.000118	0.804	0.657	1
168	0.0472	0.849	0.0	0.337	0.408	1
169	0.228	0.628	0.0183	0.618	0.568	1
170	0.00689	0.717	0.0	0.512	0.862	1
171	0.0109	0.584	1.03e-06	0.326	0.68	1
172	0.0246	0.586	0.000167	0.207	0.806	1
173	0.00399	0.648	0.294	0.559	0.85	1
174	0.037	0.807	0.000763	0.421	0.785	1
175	0.0789	0.577	0.207	0.381	0.941	1
176	0.141	0.5	6.21e-06	0.325	0.593	1
177	0.108	0.804	0.0636	0.966	0.708	1
178	0.0108	0.787	0.0152	0.867	0.658	1
179	0.0107	0.246	5.71e-06	0.189	0.784	1
180	0.0107	0.882	0.00152	0.678	0.743	1
181	0.0315	0.628	0.543	0.86	0.824	1
182	0.00807	0.451	0.0	0.674	0.79	1
183	0.64	0.518	0.000536	0.264	0.385	1
184	0.0414	0.774	4.84e-06	0.768	0.901	1
185	0.0127	0.547	5.01e-06	0.496	0.635	1
186	0.0585	0.552	0.892	0.603	0.878	1
187	0.00856	0.542	5.38e-06	0.389	0.946	1
188	0.019	0.695	0.8	0.337	0.94	1
189	0.0488	0.633	0.00047	0.357	0.492	1
190	0.365	0.312	0.0038	0.308	0.445	1
191	0.17	0.43	0.0	0.22	0.436	1
192	0.0346	0.19	0.0369	0.181	0.908	1
193	0.0361	0.312	0.618	0.122	0.907	1
194	0.00818	0.539	0.0717	0.249	0.582	1
195	0.613	0.698	1.61e-05	0.816	0.878	1
196	0.00275	0.476	0.757	0.745	0.818	1
197	0.064	0.568	0.00099	0.792	0.936	1
198	0.00192	0.558	8.97e-06	0.214	0.74	1
199	0.0212	0.604	0.0	0.893	0.894	1
200	0.0516	0.718	0.0473	0.898	0.921	1
201	0.0855	0.737	9.32e-05	0.438	0.545	1
202	0.0293	0.769	2.12e-06	0.948	0.712	1
203	0.00731	0.567	0.205	0.354	0.506	1
204	0.000467	0.817	1.51e-06	0.448	0.588	1
205	0.0411	0.767	0.402	0.496	0.912	1
206	0.000195	0.77	0.897	0.678	0.895	1
207	0.827	0.712	0.548	0.973	0.77	1
208	0.39	0.706	0.692	0.385	0.577	1
209	0.00471	0.542	0.0161	0.426	0.799	1
210	0.827	0.583	3.81e-05	0.782	0.776	1
211	0.0628	0.727	0.526	0.93	0.548	1
212	0.00919	0.45	0.101	0.209	0.782	1
213	0.0027	0.602	0.0053	0.468	0.764	1
214	0.385	0.415	0.0	0.372	0.681	1
215	0.0304	0.614	0.000297	0.584	0.838	1
216	0.105	0.901	7.79e-06	0.606	0.744	1
217	0.359	0.7	0.0221	0.64	0.986	1
218	0.119	0.583	0.0	0.422	0.843	1
219	0.0112	0.6	0.535	0.193	0.586	1
220	0.251	0.786	0.213	0.318	0.706	1
221	0.0696	0.512	0.33	0.396	0.821	1
222	0.403	0.791	0.0	0.96	0.664	1
223	0.849	0.533	0.565	0.196	0.213	1
224	0.0862	0.731	0.000388	0.648	0.75	1
225	0.000156	0.853	0.88	0.499	0.532	1
226	0.0398	0.674	0.000123	0.567	0.501	1
227	0.0448	0.788	0.0	0.13	0.617	1
228	0.000686	0.745	0.2	0.946	0.857	1
229	0.0107	0.621	0.187	0.288	0.796	1
230	0.377	0.818	0.0	0.895	0.528	1
231	0.0988	0.856	0.000472	0.91	0.874	1
232	0.0913	0.614	0.0	0.944	0.857	1
233	0.0778	0.729	0.0	0.23	0.527	1
234	0.0608	0.42	0.0107	0.416	0.776	1
235	0.011	0.757	0.00672	0.952	0.578	1
236	0.0249	0.618	1.37e-05	0.299	0.538	1
237	0.642	0.657	4.03e-05	0.266	0.393	1
238	0.538	0.879	0.000333	0.797	0.495	1
239	0.0172	0.496	0.0367	0.172	0.54	1
240	0.0639	0.742	0.165	0.748	0.945	1
241	0.245	0.623	0.000913	0.884	0.65	1
242	0.00101	0.736	0.897	0.0793	0.68	1
243	0.254	0.482	2.43e-06	0.539	0.96	1
244	0.0117	0.683	0.000379	0.317	0.86	1
245	0.0626	0.697	0.774	0.436	0.655	1
246	0.479	0.631	0.0	0.104	0.626	1
247	0.0957	0.747	0.000519	0.56	0.722	1
248	0.251	0.569	2.68e-06	0.709	0.74	1
249	0.029	0.674	5.56e-06	0.807	0.832	1
250	0.00744	0.578	0.0816	0.452	0.947	1
251	0.449	0.586	0.368	0.276	0.658	1
252	0.275	0.756	0.0	0.307	0.44	1
253	0.212	0.723	5.83e-05	0.867	0.687	1
254	0.0559	0.599	0.108	0.371	0.645	1
255	0.00333	0.586	0.916	0.771	0.671	1
256	0.0332	0.749	0.0499	0.824	0.802	1
257	0.539	0.689	0.0	0.822	0.83	1
258	0.0257	0.283	0.00489	0.151	0.331	1
259	0.0193	0.413	0.0	0.601	0.676	1
260	0.0181	0.932	6.81e-06	0.552	0.819	1
261	0.0062	0.748	0.0	0.273	0.733	1
262	0.108	0.53	0.0	0.272	0.433	1
263	0.196	0.388	0.00883	0.804	0.688	1
264	0.667	0.371	0.00186	0.558	0.703	1
265	0.124	0.875	0.0123	0.704	0.532	1
266	0.074	0.523	0.00336	0.496	0.722	1
267	0.0962	0.654	0.0031	0.111	0.292	1
268	0.455	0.847	0.0622	0.624	0.654	1
269	0.015	0.836	0.00103	0.43	0.537	1
270	0.172	0.413	0.000309	0.542	0.555	1
271	0.123	0.473	0.968	0.554	0.865	1
272	0.00593	0.609	0.585	0.0844	0.641	1
273	0.174	0.544	0.0248	0.189	0.427	1
274	0.0059	0.379	1.04e-05	0.0647	0.674	1
275	0.000304	0.316	0.0139	0.239	0.748	1
276	0.29	0.857	3.04e-06	0.729	0.484	1
277	0.00412	0.389	0.172	0.399	0.884	1
278	0.00492	0.519	0.93	0.222	0.793	1
279	0.384	0.478	0.808	0.0635	0.6	1
280	0.00978	0.706	0.00955	0.808	0.643	1
281	0.0621	0.736	0.0312	0.761	0.539	1
282	0.081	0.651	6.54e-05	0.738	0.77	1
283	0.0269	0.869	0.299	0.244	0.658	1
284	0.428	0.624	0.656	0.517	0.852	1
285	0.699	0.386	0.872	0.254	0.509	1
286	0.22	0.234	0.000176	0.365	0.747	1
287	0.516	0.525	5e-06	0.769	0.797	1
288	0.00564	0.521	0.0226	0.264	0.888	1
289	0.504	0.719	0.0	0.668	0.697	1
290	0.825	0.722	0.0178	0.69	0.605	1
291	0.0453	0.806	5.71e-06	0.131	0.696	1
292	0.259	0.763	0.902	0.475	0.491	1
293	0.00403	0.736	5.49e-06	0.601	0.68	1
294	0.0141	0.651	6.02e-06	0.731	0.824	1
295	0.127	0.479	0.0	0.522	0.609	1
296	0.379	0.535	0.0464	0.339	0.374	1
297	0.0861	0.356	0.0	0.116	0.567	1
298	0.26	0.753	0.000102	0.967	0.9	1
299	0.032	0.694	0.00129	0.549	0.789	1
300	0.0356	0.483	1.6e-06	0.803	0.804	1
301	0.0453	0.878	0.751	0.138	0.43	1
302	0.19	0.703	5.26e-06	0.815	0.412	1
303	0.407	0.688	0.0	0.708	0.488	1
304	0.854	0.316	0.888	0.0933	0.308	1
305	0.153	0.725	0.0328	0.191	0.918	1
306	0.321	0.749	0.155	0.587	0.422	1
307	0.00079	0.771	0.1	0.281	0.248	1
308	0.0259	0.69	0.00243	0.693	0.548	1
309	0.058	0.648	0.0	0.464	0.887	1
310	0.0498	0.403	0.0	0.734	0.742	1
311	0.0803	0.664	0.000253	0.527	0.727	1
312	0.118	0.704	0.000115	0.408	0.894	1
313	0.00189	0.554	0.39	0.824	0.749	1
314	0.0174	0.446	0.0	0.585	0.752	1
315	0.124	0.612	0.85	0.373	0.628	1
316	0.00838	0.587	3.55e-05	0.42	0.866	1
317	0.429	0.551	0.000686	0.628	0.952	1
318	0.419	0.331	0.0	0.561	0.957	1
319	0.106	0.912	0.000208	0.949	0.317	1
320	0.0211	0.697	0.893	0.311	0.905	1
321	0.00799	0.883	0.804	0.964	0.333	1
322	0.00236	0.733	0.00102	0.657	0.87	1
323	0.0602	0.803	0.000627	0.726	0.579	1
324	0.219	0.698	0.0	0.712	0.515	1
325	0.0138	0.677	0.0	0.742	0.905	1
326	0.0169	0.648	0.0	0.176	0.862	1
327	0.315	0.65	0.0	0.193	0.448	1
328	0.518	0.672	0.26	0.356	0.527	1
329	0.0567	0.838	0.799	0.357	0.537	1
330	0.0286	0.76	0.00691	0.965	0.391	1
331	0.00909	0.646	0.000124	0.408	0.621	1
332	0.0445	0.808	0.3	0.458	0.687	1
333	0.119	0.716	1.38e-05	0.159	0.647	1
334	0.0111	0.846	0.00257	0.825	0.501	1
335	0.388	0.704	0.0147	0.584	0.942	1
336	2.84e-06	0.305	0.00245	0.463	0.827	1
337	0.0115	0.82	0.445	0.972	0.616	1
338	0.136	0.185	0.0	0.322	0.89	1
339	0.00328	0.562	0.0	0.634	0.801	1
340	0.376	0.565	0.000121	0.782	0.86	1
341	0.196	0.464	0.0088	0.627	0.772	1
342	0.248	0.576	0.000609	0.57	0.602	1
343	0.0686	0.388	0.0	0.641	0.598	1
344	0.602	0.637	0.119	0.931	0.498	1
345	0.0893	0.636	0.0178	0.444	0.72	1
346	0.000141	0.688	0.92	0.757	0.587	1
347	0.0469	0.766	0.0	0.401	0.82	1
348	0.133	0.402	0.0	0.706	0.794	1
349	0.157	0.599	0.0	0.44	0.524	1
350	0.371	0.837	0.0401	0.407	0.492	1
351	0.0124	0.612	0.0	0.451	0.858	1
352	0.19	0.63	0.753	0.142	0.671	1
353	0.0953	0.614	0.0559	0.477	0.858	1
354	0.27	0.446	0.661	0.503	0.89	1
355	0.0846	0.481	0.907	0.852	0.851	1
356	0.00855	0.293	0.0111	0.696	0.792	1
357	0.128	0.889	0.0004	0.261	0.597	1
358	0.088	0.673	0.0108	0.457	0.857	1
359	0.0406	0.536	8.92e-05	0.368	0.922	1
360	0.0377	0.575	0.563	0.718	0.691	1
361	0.021	0.571	0.0	0.538	0.719	1
362	0.0466	0.784	1.57e-05	0.79	0.803	1
363	0.16	0.746	0.0	0.836	0.682	1
364	0.00266	0.444	0.0299	0.294	0.498	1
365	0.0833	0.736	0.000349	0.512	0.882	1
366	0.445	0.915	3.63e-05	0.113	0.54	1
367	0.304	0.75	0.0	0.504	0.835	1
368	0.109	0.632	0.0	0.602	0.519	1
369	0.0152	0.814	0.36	0.287	0.83	1
370	0.273	0.893	0.0	0.642	0.378	1
371	0.0146	0.823	1.03e-06	0.207	0.768	1
372	0.0573	0.639	0.0294	0.553	0.749	1
373	0.726	0.49	2.54e-05	0.107	0.376	1
374	0.0487	0.289	0.000293	0.366	0.523	1
375	0.111	0.615	0.0	0.664	0.781	1
376	0.0207	0.808	0.364	0.752	0.41	1
377	0.102	0.775	0.582	0.961	0.528	1
378	0.00757	0.393	0.145	0.474	0.838	1
379	0.01	0.449	0.122	0.118	0.416	1
380	2.24e-05	0.595	0.835	0.131	0.549	1
381	0.038	0.728	0.0	0.904	0.62	1
382	0.765	0.561	0.685	0.654	0.896	1
383	0.775	0.758	0.0	0.218	0.343	1
384	0.000429	0.782	0.121	0.872	0.938	1
385	0.323	0.839	0.0505	0.45	0.48	1
386	0.0301	0.226	0.0677	0.0795	0.261	1
387	0.268	0.763	4.37e-06	0.369	0.623	1
388	0.0626	0.858	0.243	0.593	0.717	1
389	0.000239	0.329	0.0944	0.403	0.814	1
390	0.317	0.727	0.0	0.381	0.599	1
391	0.00605	0.318	0.832	0.683	0.975	1
392	0.0818	0.61	0.0	0.938	0.791	1
393	0.0021	0.646	0.00626	0.935	0.892	1
394	0.016	0.79	0.13	0.373	0.616	1
395	0.0385	0.484	0.66	0.193	0.492	1
396	0.304	0.785	0.403	0.626	0.573	1
397	0.113	0.715	0.0418	0.398	0.64	1
398	0.0414	0.811	0.142	0.752	0.635	1
399	0.704	0.597	0.0119	0.854	0.721	1
400	0.785	0.6	0.0289	0.0768	0.413	1
401	0.629	0.811	1.4e-05	0.72	0.461	1
402	0.0167	0.797	0.919	0.355	0.961	1
403	0.391	0.799	3.16e-06	0.956	0.657	1
404	0.0301	0.769	0.016	0.719	0.514	1
405	0.27	0.865	0.0488	0.939	0.896	1
406	0.107	0.826	7.71e-05	0.919	0.751	1
407	0.96	0.508	0.00259	0.271	0.325	1
408	0.124	0.85	0.00135	0.845	0.818	1
409	0.0245	0.819	0.358	0.84	0.684	1
410	0.0194	0.896	0.033	0.847	0.482	1
411	0.0129	0.401	7.72e-05	0.173	0.661	1
412	0.0106	0.346	0.685	0.711	0.808	1
413	0.115	0.697	0.901	0.483	0.529	1
414	0.195	0.605	0.0135	0.136	0.732	1
415	0.034	0.691	0.00225	0.334	0.71	1
416	0.0079	0.428	0.935	0.0576	0.74	1
417	0.00525	0.555	0.0	0.319	0.612	1
418	0.482	0.732	0.809	0.191	0.468	1
419	0.0124	0.633	0.689	0.512	0.926	1
420	0.000199	0.284	0.0	0.199	0.961	1
421	0.119	0.68	2.86e-05	0.261	0.489	1
422	0.0463	0.578	0.0201	0.959	0.825	1
423	0.0602	0.658	0.00781	0.568	0.835	1
424	0.00914	0.385	0.522	0.52	0.902	1
425	0.0555	0.735	0.0627	0.469	0.798	1
426	0.132	0.635	0.0	0.675	0.766	1
427	0.0101	0.569	0.0145	0.291	0.857	1
428	0.000613	0.469	0.000829	0.138	0.823	1
429	0.0571	0.502	0.054	0.207	0.632	1
430	0.0212	0.597	0.473	0.383	0.798	1
431	0.459	0.673	0.000237	0.551	0.764	1
432	0.198	0.507	0.865	0.17	0.739	1
433	0.0198	0.517	1.31e-06	0.331	0.491	1
434	0.00417	0.356	0.00975	0.592	0.872	1
435	0.00529	0.563	0.883	0.6	0.924	1
436	0.0039	0.567	0.0	0.697	0.876	1
437	0.00501	0.633	1.93e-05	0.455	0.884	1
438	0.929	0.445	0.167	0.091	0.461	1
439	0.00145	0.575	0.0	0.295	0.625	1
440	0.369	0.662	0.000197	0.442	0.571	1
441	0.00096	0.573	0.00191	0.769	0.946	1
442	0.0244	0.605	0.586	0.367	0.755	1
443	0.00632	0.374	0.0207	0.337	0.937	1
444	0.158	0.714	1.29e-05	0.897	0.924	1
445	0.00441	0.207	0.421	0.135	0.878	1
446	0.0729	0.589	0.942	0.556	0.938	1
447	0.652	0.36	0.000128	0.144	0.362	1
448	0.00091	0.516	0.0	0.238	0.66	1
449	0.126	0.579	3.28e-05	0.67	0.767	1
450	0.0184	0.845	0.00581	0.346	0.59	1
451	0.0914	0.568	0.459	0.452	0.662	1
452	0.154	0.716	0.000309	0.698	0.724	1
453	0.386	0.791	0.0126	0.717	0.729	1
454	0.00983	0.795	0.743	0.639	0.578	1
455	0.00215	0.584	0.0217	0.722	0.761	1
456	0.676	0.679	0.0	0.677	0.709	1
457	0.0693	0.646	0.0	0.957	0.947	1
458	0.0961	0.704	0.000114	0.646	0.49	1
459	0.00254	0.812	0.698	0.786	0.554	1
460	0.394	0.76	0.775	0.992	0.971	1
461	2.15e-05	0.657	0.153	0.531	0.699	1
462	0.185	0.731	0.154	0.861	0.812	1
463	0.00649	0.805	0.00772	0.753	0.596	1
464	0.00947	0.718	0.711	0.54	0.844	1
465	0.0507	0.597	0.000198	0.891	0.746	1
466	0.738	0.698	8.21e-06	0.779	0.923	1
467	0.000419	0.823	0.0745	0.718	0.811	1
468	0.00176	0.819	0.0931	0.769	0.777	1
469	0.02	0.671	0.0	0.684	0.781	1
470	0.00402	0.872	0.237	0.885	0.565	1
471	0.00241	0.85	0.0672	0.584	0.664	1
472	0.652	0.36	0.000128	0.144	0.362	1
473	0.196	0.76	0.00185	0.616	0.76	1
474	0.0305	0.874	0.0	0.644	0.492	1
475	0.0229	0.527	0.155	0.12	0.871	1
476	0.000963	0.767	0.00275	0.947	0.712	1
477	0.233	0.328	0.00517	0.709	0.827	1
478	0.0175	0.702	0.00165	0.484	0.773	1
479	0.00314	0.654	0.000249	0.243	0.734	1
480	0.0369	0.448	0.0425	0.404	0.733	1
481	0.0152	0.542	0.0	0.262	0.854	1
482	0.00206	0.469	0.00914	0.226	0.821	1
483	0.429	0.857	5.21e-06	0.82	0.889	1
484	0.000407	0.796	0.812	0.327	0.774	1
485	0.0401	0.67	0.0021	0.294	0.897	1
486	0.000299	0.697	0.00674	0.288	0.68	1
487	0.0193	0.352	6.04e-06	0.0459	0.807	1
488	0.122	0.687	0.0011	0.0397	0.799	1
489	0.0998	0.666	0.0614	0.955	0.811	1
490	0.0285	0.764	0.0235	0.627	0.768	1
491	0.0132	0.677	0.0119	0.793	0.86	1
492	0.275	0.735	0.0	0.491	0.801	1
493	0.000483	0.286	0.00252	0.411	0.694	1
494	0.00138	0.881	0.0	0.36	0.564	1
495	0.0086	0.246	0.241	0.681	0.843	1
496	0.000248	0.515	0.156	0.707	0.876	1
497	0.0227	0.816	7.23e-05	0.968	0.894	1
498	0.00569	0.715	0.772	0.923	0.518	1
499	0.0365	0.829	0.0233	0.688	0.637	1
500	0.289	0.444	0.778	0.463	0.978	1
501	0.232	0.612	0.011	0.153	0.725	1
502	0.0989	0.7	0.0609	0.343	0.718	1
503	0.000869	0.754	0.0	0.557	0.877	1
504	0.148	0.327	0.00442	0.262	0.654	1
505	0.0173	0.646	0.0	0.173	0.778	1
506	0.00991	0.486	0.158	0.726	0.526	1
507	0.473	0.551	0.664	0.137	0.504	1
508	0.0246	0.586	0.000167	0.207	0.806	1
509	0.00909	0.694	0.000814	0.896	0.716	1
510	0.122	0.817	0.0	0.161	0.528	1
511	0.0764	0.611	0.0698	0.233	0.677	1
512	0.419	0.727	0.0	0.794	0.657	1
513	0.229	0.485	0.784	0.295	0.793	1
514	0.0413	0.52	0.725	0.524	0.872	1
515	0.000105	0.399	0.0456	0.244	0.761	1
516	0.52	0.582	0.779	0.902	0.903	1
517	0.0833	0.852	0.0	0.648	0.523	1
518	0.0156	0.623	0.0769	0.847	0.806	1
519	0.145	0.844	0.00351	0.747	0.688	1
520	0.0275	0.684	0.000311	0.508	0.603	1
521	0.000103	0.498	0.528	0.228	0.553	1
522	0.0329	0.162	0.122	0.0778	0.254	1
523	0.0842	0.671	0.0121	0.545	0.784	1
524	0.597	0.792	0.000106	0.677	0.387	1
525	0.0801	0.417	0.00141	0.376	0.944	1
526	0.0726	0.739	0.0	0.374	0.526	1
527	0.203	0.791	0.0	0.62	0.916	1
528	0.00341	0.491	0.348	0.964	0.935	1
529	0.0581	0.748	0.0	0.162	0.586	1
530	7.79e-05	0.351	0.129	0.604	0.931	1
531	0.001	0.48	0.000273	0.579	0.964	1
532	3.41e-05	0.123	0.0329	0.68	0.963	1
533	0.00814	0.401	0.878	0.405	0.972	1
534	0.00023	0.228	0.848	0.499	0.886	1
535	0.0214	0.465	0.79	0.0451	0.633	1
536	0.11	0.438	0.0	0.0759	0.539	1
537	0.0036	0.396	0.531	0.351	0.601	1
538	0.000183	0.596	0.00767	0.52	0.628	1
539	0.000964	0.276	0.858	0.547	0.766	1
540	0.104	0.241	0.00042	0.506	0.588	1
541	0.000341	0.821	0.909	0.269	0.902	1
542	0.854	0.354	0.8	0.0745	0.228	1
543	0.0372	0.638	0.00748	0.915	0.897	1
544	0.0101	0.651	0.000186	0.711	0.642	1
545	0.0543	0.625	4.07e-05	0.223	0.576	1
546	0.169	0.759	0.0687	0.752	0.772	1
547	0.0175	0.726	0.0	0.494	0.664	1
548	0.8	0.611	0.872	0.322	0.9	1
